Item;Input;NumRequired;PeriodSeconds;RequiredPerMinute
accumulator;battery;2;6;20
accumulator;electronics;2;6;20
accumulator;stator;1;6;10
applicator;glass;2;4;30
applicator;tube;8;4;120
battery;electronics;2;4;30
battery;inductor;2;4;30
battery;sulfuric acid;1;4;15
calcite sheets;calcium block;1;2;30
calcium block;calcium ore;2;2;60
calcium powder;calcium block;1;3;20
ceramics;calcite sheets;1;2;30
ceramics;wolfram powder;1;2;30
chemicals;helium-3;1;2;30
chemicals;synthetic silicon;1;2;30
chemicals;wolfram powder;3;2;90
electromagnetic coil;inductor;1;4;15
electromagnetic coil;pressurized helium;1;4;15
electromagnetic coil;supermagnet;1;4;15
electromagnetic coil;wolfram plate;6;4;90
electronics;inductor;1;5;12
electronics;stator;1;5;12
electronics;synthetic silicon;2;5;24
generator;battery;1;10;6
generator;nozzle;1;10;6
generator;turbine;1;10;6
glass;calcium powder;2;3;40
glass;helium-3;1;3;20
hardening agent;applicator;1;4;15
hardening agent;sulfuric acid;5;4;75
hardening agent;synthetic silicon;1;4;15
heat resistant sheet;glass;1;4;15
heat resistant sheet;titanium sheet;2;4;30
heat resistant sheet;wolfram plate;1;4;15
impeller;heat resistant sheet;2;4;30
impeller;stabilizer;1;4;15
impeller;titanium rod;2;4;30
impeller;wolfram plate;1;4;15
inductor;ceramics;2;3;40
inductor;tube;2;3;40
inductor;wolfram wire;1;3;20
nozzle;heat resistant sheet;2;5;24
nozzle;helium-3;1;5;12
nozzle;stabilizer;2;5;24
pressure tank;heat resistant sheet;5;12;25
pressure tank;pump;3;12;15
pressure tank;titanium housing;3;12;15
pressure tank;valve;2;12;10
pressurized helium;helium-3;1;2;30
pressurized helium;sulfur ore;1;2;30
pump;impeller;1;10;6
pump;sulfuric acid;3;10;18
pump;turbine;1;10;6
pump;valve;1;10;6
rotor;titanium rod;2;6;20
rotor;wolfram wire;2;6;20
stabilizer;rotor;1;6;10
stabilizer;titanium rod;2;6;20
stator;titanium housing;2;3;40
stator;wolfram wire;1;3;20
sulfuric acid;chemicals;1;0.5;120
sulfuric acid;sulfur ore;2;0.5;240
supermagnet;chemicals;2;3;40
supermagnet;sulfuric acid;5;3;100
supermagnet;wolfram plate;5;3;100
synthetic resin;calcite sheets;10;3;200
synthetic resin;hardening agent;2;3;40
synthetic resin;sulfuric acid;4;3;80
synthetic silicon;calcium powder;2;2;60
synthetic silicon;ceramics;2;2;60
synthetic silicon;helium-3;1;2;30
titanium bar;titanium ore;2;2;60
titanium beam;titanium bar;1;3;20
titanium housing;titanium beam;1;2;30
titanium housing;titanium sheet;2;2;60
titanium rod;titanium bar;1;2;30
titanium sheet;titanium bar;1;2;30
tube;titanium rod;1;2;30
tube;titanium sheet;1;2;30
turbine;impeller;1;6;10
turbine;rotor;2;6;20
turbine;stator;1;6;10
turbine;sulfuric acid;2;6;20
valve;nozzle;1;10;6
valve;titanium beam;3;10;18
valve;titanium housing;1;10;6
valve;titanium rod;2;10;12
wolfram bar;wolfram ore;2;2;60
wolfram plate;wolfram bar;1;1;60
wolfram powder;wolfram bar;1;2;30
wolfram wire;wolfram bar;1;4;15
